,recency,hist_spend,past_discount,past_bogo,Surburban,Urban,is_referral,Web,store,offer,conversion
325,11,140.07,0,1,0,1,1,1,0,1,0
326,10,168.04,1,0,0,1,0,1,0,0,0
328,4,164.7,1,0,1,0,0,0,1,0,0
329,2,57.53,1,0,0,1,1,0,1,0,0
331,3,188.19,1,0,0,1,0,0,1,1,1
332,10,29.99,0,1,1,0,0,1,0,0,1
333,1,35.23,1,0,0,1,1,0,1,1,0
335,4,550.59,1,0,1,0,1,1,0,0,0
336,6,232.94,1,0,1,0,1,0,0,1,0
340,10,205.88,1,0,0,1,0,0,1,0,0
341,1,1281.48,1,0,0,1,1,0,1,1,0
342,3,29.99,1,0,0,1,0,1,0,0,1
343,3,542.16,1,0,0,1,1,0,1,1,1
345,6,507.25,0,1,0,1,1,0,1,1,0
346,10,29.99,1,0,0,0,0,1,0,1,0
348,7,60.02,1,0,1,0,1,0,1,1,0
349,1,68.5,0,1,0,1,0,0,1,0,0
350,11,37.45,0,1,0,1,0,0,1,0,0
353,4,70.39,0,1,1,0,1,1,0,0,0
354,6,98.8,0,1,0,0,1,0,1,1,1
356,5,556.5,0,1,0,0,1,1,0,1,0
358,6,136.26,0,1,0,0,1,1,0,0,0
360,9,172.14,0,1,0,1,0,0,1,1,0
361,2,203.52,1,1,0,1,1,0,0,0,1
363,10,320.11,0,1,0,0,0,1,0,0,0
365,8,267.25,0,1,1,0,0,0,1,1,0
368,9,744.22,1,0,0,0,1,1,0,0,0
369,3,99.25,1,0,1,0,1,0,1,0,0
370,5,62.49,1,0,0,0,0,1,0,0,0
371,4,72.66,0,1,1,0,1,0,1,1,0
372,10,333.65,0,1,1,0,0,1,0,0,0
373,7,340.18,0,1,0,1,0,0,1,0,0
375,10,62.63,0,1,1,0,1,0,1,1,0
377,5,283.55,1,0,0,1,1,0,1,0,0
379,9,54.34,1,0,1,0,0,0,1,1,1
380,5,247.82,1,0,0,1,0,0,1,1,0
381,11,178.56,1,0,0,1,0,0,1,1,0
382,2,86.38,1,0,0,1,1,1,0,1,0
383,7,233.4,1,1,0,1,0,0,0,0,0
385,1,1524.15,1,0,0,0,1,1,0,0,0
388,10,57.71,0,1,1,0,0,1,0,1,0
389,4,410.86,0,1,0,1,0,1,0,0,0
390,6,40.24,1,0,1,0,1,0,1,1,0
391,9,535.17,0,1,1,0,1,1,0,1,0
392,3,584.63,1,1,1,0,1,1,0,0,0
393,1,29.99,1,0,0,1,1,0,1,1,0
395,5,119.47,1,0,1,0,0,0,1,0,0
396,7,68.86,0,1,1,0,0,0,1,0,0
397,3,68.81,0,1,0,1,0,0,1,1,0
398,9,165.62,0,1,0,1,0,1,0,0,0
399,1,686.08,1,1,0,1,1,1,0,0,0
402,7,145.89,0,1,0,1,0,0,1,0,0
404,5,964.59,0,1,1,0,1,0,1,0,0
406,7,578.35,0,1,1,0,1,1,0,1,1
407,7,93.33,1,0,0,1,0,1,0,0,0
412,5,42.3,0,1,0,1,0,0,1,0,0
413,4,474.94,0,1,0,1,1,1,0,1,0
414,7,291.88,1,0,0,1,0,0,0,0,0
417,6,32.17,1,0,0,1,1,0,1,1,0
420,1,200.26,1,0,1,0,0,0,0,0,0
421,8,1137.96,0,1,1,0,1,0,1,1,0
423,9,51.53,1,0,1,0,1,0,1,0,0
424,3,177.36,0,1,1,0,1,1,0,1,0
425,9,34.75,1,0,0,1,1,1,0,0,0
426,8,402.84,1,0,1,0,0,0,1,0,0
427,1,276.21,1,0,1,0,0,0,1,0,0
428,1,960.02,1,1,0,0,1,1,0,0,1
429,1,100.92,0,1,0,1,1,1,0,0,0
432,7,348.44,0,1,1,0,1,1,0,1,0
433,11,29.99,0,1,0,0,0,1,0,1,0
434,3,216.08,0,1,0,1,0,0,1,0,0
436,9,129.46,1,0,0,1,1,0,1,1,0
439,4,218.92,0,1,1,0,0,1,0,1,1
440,3,109.34,0,1,1,0,0,0,1,1,0
441,2,32.18,1,0,1,0,1,1,0,1,0
442,7,287.73,1,1,0,1,0,1,0,0,1
443,4,29.99,0,1,0,1,1,0,1,0,0
444,12,98.17,0,1,1,0,1,1,0,0,0
446,5,728.99,1,0,0,1,1,1,0,1,0
447,9,483.16,1,1,0,1,0,0,1,1,1
448,4,93.36,1,0,1,0,1,0,1,0,0
449,2,542.34,0,1,0,1,1,0,1,0,0
450,9,44.68,1,0,0,1,0,0,1,0,0
454,2,188.03,1,0,0,1,1,0,1,0,0
456,1,132.46,1,0,0,1,0,0,1,0,0
457,8,167.05,0,1,0,1,0,0,1,0,0
458,3,179.31,0,1,0,1,0,1,0,0,0
460,1,290.03,1,1,0,1,0,1,0,0,1
461,1,89.59,0,1,1,0,1,1,0,1,0
463,2,851.45,1,1,0,0,1,1,0,0,1
464,1,248.43,1,0,1,0,1,0,1,0,0
465,3,141.2,0,1,1,0,1,0,1,0,0
467,7,29.99,1,0,0,1,0,1,0,0,0
468,6,113.6,1,0,1,0,1,0,1,0,0
470,9,302.52,1,0,0,1,0,0,1,1,0
471,3,73.99,0,1,1,0,0,0,1,0,0
472,1,79.5,0,1,1,0,0,1,0,0,0
473,12,103.6,1,0,0,0,0,0,1,0,0
474,1,137.29,0,1,0,1,0,0,1,0,0
476,6,114.74,1,0,0,1,0,1,0,0,1
479,5,29.99,0,1,0,1,0,1,0,1,0
480,1,386.11,1,1,0,1,0,0,0,1,0
481,8,45.78,1,0,1,0,0,0,1,0,0
482,6,358.77,0,1,1,0,0,1,0,0,0
483,5,141.74,1,0,1,0,0,1,0,0,0
484,9,205.33,1,0,1,0,1,0,0,1,0
485,1,629.85,1,0,0,1,1,1,0,1,1
488,9,383.77,0,1,1,0,1,0,1,1,1
489,6,64.33,1,0,0,0,0,1,0,0,1
491,12,63.28,1,0,0,1,1,0,1,1,0
492,6,108.83,1,0,0,1,0,0,1,1,0
493,4,121.87,1,0,0,0,0,1,0,0,0
494,10,489.29,0,1,1,0,0,0,1,1,0
495,2,199.97,0,1,1,0,0,0,1,1,0
496,4,614.83,1,0,0,1,1,0,0,0,0
498,9,199.38,0,1,0,1,1,0,1,1,0
499,4,224.04,1,0,0,1,0,1,0,0,0
501,3,66.47,1,0,0,0,1,1,0,1,0
502,9,33.63,0,1,0,0,0,0,1,0,0
505,2,109.81,1,0,0,1,1,1,0,0,1
507,10,161.43,0,1,1,0,1,1,0,0,1
508,12,90.15,1,0,1,0,0,1,0,1,0
510,1,681.12,1,0,0,0,1,0,1,1,0
511,9,198.54,0,1,0,1,0,0,1,0,0
512,11,301.0,1,1,1,0,1,1,0,0,0
513,2,378.5,0,1,0,1,0,1,0,1,1
514,10,131.95,0,1,1,0,0,0,1,0,1
516,10,375.34,1,0,0,0,0,1,0,0,0
518,1,286.31,1,1,1,0,0,1,0,0,0
519,7,600.13,1,1,0,1,1,0,1,0,0
520,6,107.42,0,1,0,1,1,1,0,0,0
522,2,102.99,0,1,1,0,0,0,1,0,0
524,7,297.6,1,0,1,0,0,1,0,0,0
527,1,783.8,1,1,1,0,1,1,0,0,0
528,9,89.96,1,0,1,0,0,1,0,1,1
529,8,155.75,0,1,0,1,1,0,1,0,0
532,8,135.67,1,0,0,0,1,1,0,1,0
536,9,404.03,1,1,0,1,0,0,0,0,0
539,1,155.65,1,0,0,1,0,1,0,0,0
540,12,36.67,0,1,0,1,0,1,0,1,1
542,1,563.7,1,0,1,0,1,0,0,1,0
543,6,265.2,1,0,1,0,0,0,1,1,0
544,1,357.56,0,1,1,0,0,0,1,0,0
545,11,206.97,1,0,1,0,0,1,0,1,0
546,7,1222.53,1,1,0,0,1,0,1,1,1
547,5,67.55,1,0,1,0,0,0,1,1,0
548,9,108.59,1,0,0,0,1,1,0,1,0
549,1,615.04,1,1,1,0,1,0,1,0,0
550,7,153.17,1,0,0,0,0,0,1,1,0
552,4,127.51,1,0,0,1,1,1,0,0,0
553,8,60.9,0,1,0,0,1,0,1,0,0
554,1,234.17,1,0,0,0,1,0,1,0,0
555,12,145.27,1,0,0,1,1,1,0,1,0
556,11,112.61,0,1,0,1,0,1,0,0,0
557,5,168.1,1,0,1,0,0,1,0,0,0
560,5,37.79,0,1,1,0,0,1,0,0,0
562,4,70.16,0,1,1,0,0,1,0,0,0
565,6,65.1,1,0,0,1,0,0,1,1,0
567,9,297.59,0,1,1,0,1,0,1,1,1
568,7,409.76,1,1,0,1,0,0,0,1,0
569,9,60.15,0,1,1,0,0,1,0,1,0
570,1,111.37,0,1,1,0,1,1,0,0,0
571,7,29.99,0,1,0,1,0,0,1,0,0
572,1,87.0,0,1,0,0,1,0,1,1,0
573,2,46.47,0,1,1,0,1,1,0,0,0
575,9,129.29,0,1,0,1,1,1,0,0,0
577,3,708.62,0,1,1,0,1,0,1,1,0
578,3,29.99,1,0,0,1,1,0,1,1,0
580,10,113.33,0,1,0,1,0,1,0,0,0
581,4,737.33,0,1,1,0,1,1,0,1,0
582,12,29.99,1,0,0,1,1,1,0,1,0
586,11,29.99,0,1,1,0,0,1,0,1,0
587,7,758.59,0,1,1,0,1,1,0,1,0
588,4,174.55,1,0,0,0,1,1,0,1,0
589,9,76.72,1,0,1,0,0,0,1,0,0
590,6,334.34,0,1,0,0,0,0,0,1,1
591,12,108.83,1,0,0,0,0,1,0,1,1
592,10,319.45,0,1,0,1,0,0,1,1,0
593,10,29.99,1,0,1,0,1,1,0,1,0
594,3,367.27,0,1,1,0,1,0,1,0,0
595,8,29.99,1,0,0,1,1,1,0,0,0
596,10,102.82,1,0,1,0,1,1,0,1,0
598,4,739.84,1,0,0,1,1,0,1,1,0
600,6,161.43,0,1,1,0,0,1,0,1,1
601,8,346.57,1,0,0,1,1,1,0,0,0
602,7,729.01,0,1,0,0,1,0,1,0,0
603,10,51.33,1,0,1,0,1,1,0,1,0
604,2,159.22,0,1,1,0,0,1,0,1,0
605,5,1079.62,1,1,1,0,1,1,0,0,1
606,10,29.99,1,0,1,0,1,1,0,0,0
607,11,43.51,0,1,1,0,0,1,0,0,0
608,10,163.8,0,1,0,1,1,1,0,1,0
609,9,212.32,1,0,1,0,0,0,0,0,0
610,7,147.81,1,0,1,0,1,1,0,1,0
613,1,544.98,1,0,0,1,1,1,0,0,0
615,7,508.18,1,0,0,1,1,1,0,1,0
616,1,50.62,1,0,0,1,0,1,0,0,0
618,5,291.17,1,0,1,0,0,0,0,0,0
620,5,777.95,1,0,1,0,1,1,0,0,0
622,5,30.59,0,1,0,1,1,1,0,1,0
623,4,305.76,0,1,1,0,0,0,1,0,0
624,8,29.99,0,1,1,0,0,0,1,0,1
625,8,256.83,0,1,0,1,1,1,0,0,0
626,7,462.7,0,1,1,0,1,0,0,0,0
627,7,489.49,1,0,0,0,1,1,0,0,1
630,9,29.99,0,1,1,0,0,0,1,0,0
633,2,231.27,0,1,0,1,1,0,1,0,0
634,2,50.37,1,0,0,1,0,0,1,1,0
635,9,189.33,1,0,0,1,1,0,1,0,0
636,1,368.01,0,1,0,1,0,1,0,0,0
637,1,331.21,1,0,0,0,1,0,1,0,0
638,2,186.51,0,1,1,0,0,0,1,1,0
639,9,433.89,0,1,0,0,0,0,1,1,0
640,8,90.62,1,0,0,1,0,0,1,0,0
642,2,44.37,0,1,1,0,0,1,0,1,0
644,3,43.0,1,0,0,1,0,0,1,0,0
645,10,145.73,0,1,0,1,1,0,1,0,0
646,3,80.86,1,0,0,0,1,0,1,0,0
649,2,202.92,0,1,1,0,0,0,1,1,0
653,10,226.15,0,1,1,0,1,0,0,1,0
656,6,549.78,1,0,1,0,1,1,0,1,0
657,9,34.72,0,1,1,0,1,0,1,0,0
659,1,92.29,0,1,0,0,1,0,1,0,1
660,4,316.87,0,1,0,1,1,1,0,1,0
661,2,189.02,0,1,0,1,1,0,1,0,0
662,2,210.51,0,1,0,1,0,0,1,1,1
663,9,301.15,1,1,1,0,0,0,1,1,1
665,9,29.99,0,1,1,0,1,1,0,1,0
666,9,29.99,0,1,0,1,1,1,0,0,0
667,1,70.17,1,0,1,0,0,1,0,0,0
669,10,138.83,1,0,0,1,0,0,1,0,0
670,6,505.48,1,1,1,0,1,0,1,0,0
672,4,209.79,0,1,0,0,0,0,0,1,1
673,3,34.22,1,0,0,1,1,0,1,1,0
674,2,152.95,0,1,1,0,0,1,0,0,0
675,5,427.17,1,1,0,1,0,1,0,0,0
677,1,75.83,1,0,1,0,0,0,1,0,1
679,10,466.25,0,1,0,1,0,0,1,0,0
685,2,227.46,1,0,0,1,0,1,0,0,0
687,6,97.9,0,1,1,0,1,0,1,1,0
689,12,88.65,1,0,1,0,0,1,0,1,0
693,7,157.63,1,0,0,1,1,0,1,1,0
694,3,29.99,0,1,0,1,1,0,1,1,0
695,10,119.63,0,1,0,0,0,1,0,1,0
696,4,317.96,0,1,0,1,0,1,0,0,0
698,4,186.97,1,0,0,1,1,1,0,0,0
699,5,226.84,0,1,1,0,1,0,0,0,0
701,2,458.41,0,1,1,0,0,0,0,1,0
702,5,135.64,1,0,0,1,0,1,0,1,0
703,10,127.29,0,1,0,1,1,0,1,0,0
707,1,525.42,0,1,0,1,1,0,1,1,0
708,1,303.34,1,1,0,1,0,1,0,1,1
709,5,50.63,1,0,0,1,0,0,1,1,0
710,9,35.4,0,1,1,0,1,1,0,0,0
712,5,46.09,1,0,0,1,0,1,0,0,0
713,6,333.21,1,0,0,1,1,0,1,1,0
714,2,584.37,1,0,0,1,1,0,0,1,1
716,4,78.96,0,1,0,1,1,0,1,0,0
717,4,53.42,0,1,1,0,0,0,1,1,0
718,3,314.67,1,0,0,0,1,1,0,0,0
721,1,375.03,1,0,1,0,0,0,1,0,0
723,6,178.37,1,0,1,0,1,1,0,1,1
724,1,522.77,1,0,1,0,1,0,0,0,0
725,8,59.95,1,0,0,1,0,0,1,0,0
726,6,569.14,0,1,1,0,1,1,0,0,0
727,4,275.27,1,0,0,0,1,0,1,0,0
728,1,29.99,0,1,0,1,0,1,0,0,0
729,2,675.88,1,1,0,1,1,0,1,1,0
732,9,257.6,1,1,0,1,1,0,1,0,0
734,12,32.51,0,1,0,0,0,0,1,0,0
735,11,99.05,1,0,0,1,1,0,1,0,0
736,7,340.72,1,0,0,1,0,1,0,1,0
737,9,100.86,1,0,1,0,1,0,1,1,0
741,10,1097.45,0,1,1,0,1,0,1,0,1
743,7,45.72,1,0,0,1,0,0,1,0,0
744,2,243.5,1,1,1,0,0,0,1,1,0
745,8,58.28,0,1,0,1,0,0,1,1,0
746,2,225.35,1,0,0,1,0,0,1,0,0
747,3,222.8,1,0,0,1,0,1,0,1,0
748,1,29.99,1,0,0,0,1,1,0,1,0
749,1,313.98,0,1,1,0,0,1,0,0,0
750,6,105.87,1,0,1,0,1,1,0,1,0
755,1,29.99,1,0,1,0,0,1,0,1,1
757,4,110.29,0,1,0,1,0,1,0,0,0
758,10,300.6,1,1,0,1,0,0,0,1,0
760,9,174.64,0,1,0,1,1,1,0,0,0
761,5,771.92,0,1,1,0,1,0,0,0,0
763,7,192.12,1,0,0,1,0,1,0,0,0
764,6,40.02,0,1,1,0,0,1,0,0,0
766,10,275.04,1,0,0,0,0,1,0,0,0
767,2,518.53,0,1,1,0,1,0,1,1,1
768,3,454.0,0,1,0,1,0,0,0,1,0
769,3,342.64,0,1,1,0,0,0,1,0,0
770,8,337.09,1,0,1,0,0,0,1,0,0
774,1,406.33,0,1,1,0,0,1,0,1,0
775,11,98.05,0,1,1,0,1,1,0,1,0
777,1,29.99,0,1,1,0,0,1,0,0,1
778,8,29.99,1,0,1,0,1,1,0,0,0
779,1,586.52,1,0,0,0,1,0,0,0,0
781,10,89.45,1,0,1,0,1,1,0,0,0
783,10,33.57,1,0,0,1,0,0,1,1,0
785,1,382.15,0,1,0,1,0,0,1,1,1
786,5,63.2,0,1,0,0,0,0,1,1,0
787,10,148.23,0,1,0,1,1,0,1,0,0
788,3,123.2,1,0,0,1,1,0,1,1,0
791,9,46.56,1,0,1,0,0,1,0,1,1
792,9,29.99,0,1,1,0,0,0,1,0,0
793,1,162.82,1,0,1,0,0,0,1,0,1
795,10,85.31,1,0,0,1,0,1,0,0,0
796,2,180.48,1,0,0,1,0,0,1,1,0
797,7,139.53,0,1,1,0,1,0,1,1,0
798,7,151.89,1,0,0,1,0,1,0,0,0
799,10,29.99,1,0,0,1,0,0,1,0,0
800,1,651.65,1,1,0,1,1,1,0,0,0
803,2,424.44,0,1,0,1,0,0,1,1,0
805,1,804.15,1,1,1,0,1,0,0,1,1
806,11,85.29,0,1,1,0,0,0,1,1,0
807,9,29.99,0,1,1,0,1,0,1,0,0
808,4,307.66,1,0,0,1,1,1,0,1,1
809,11,123.25,1,0,1,0,0,1,0,1,0
810,2,322.83,1,0,1,0,0,0,0,0,1
811,3,261.43,0,1,0,1,1,1,0,1,0
812,7,513.78,1,0,0,1,1,0,1,0,0
